player,role,amount,team,year,player_origin,amount_log,amount_scaled,year_scaled,role_encoded,team_encoded,origin_encoded,amount_normalized
Angelo Mathews,All-Rounder,20000000,Delhi Daredevils,2017,Overseas,16.811242881518265,0.6187047847425251,-0.3070213354365553,19833904.10958904,20617647.05882353,26280014.124293786,0.7004830236776747
Aniket Choudhary,Bowler,20000000,Royal Challengers Bangalore,2017,Indian,16.811242881518265,0.6187047847425251,-0.3070213354365553,18284883.720930234,19848913.04347826,14959009.74025974,0.7004830236776747
Aniket Choudhary,All-Rounder,3000000,Royal Challengers Bangalore,2018,Indian,14.914123179965662,-0.7575631193760233,0.030632514193211002,19833904.10958904,19848913.04347826,14959009.74025974,0.2568851167581414
Anirudha Ashok Joshi,All-Rounder,2000000,Royal Challengers Bangalore,2018,Indian,14.508658238524095,-1.0517081776423227,0.030632514193211002,19833904.10958904,19848913.04347826,14959009.74025974,0.162076444851182
Anirudha Ashok Joshi,All-Rounder,2000000,Rajasthan Royals,2020,Indian,14.508658238524095,-1.0517081776423227,0.7059402134527436,19833904.10958904,17672500.0,14959009.74025974,0.162076444851182
Ankeet Bawane,Batsman,1000000,Delhi Daredevils,2017,Indian,13.815511557963774,-1.5545523200128677,-0.3070213354365553,19669590.643274855,20617647.05882353,14959009.74025974,0.0
Ankit Nagendra Sharma,Bowler,1000000,Rajasthan Royals,2014,Indian,13.815511557963774,-1.5545523200128677,-1.319982884325854,18284883.720930234,17672500.0,14959009.74025974,0.0
Ankit Sharma,All-Rounder,1000000,Rising Pune Supergiant,2016,Indian,13.815511557963774,-1.5545523200128677,-0.6446751850663216,19833904.10958904,11740740.74074074,14959009.74025974,0.0
Ankit Sharma,All-Rounder,2000000,Rajasthan Royals,2018,Indian,14.508658238524095,-1.0517081776423227,0.030632514193211002,19833904.10958904,17672500.0,14959009.74025974,0.162076444851182
Ankit Singh Rajpoot,Bowler,15000000,Kolkata Knight Riders,2016,Indian,16.52356082573315,0.4100054709122649,-0.6446751850663216,18284883.720930234,18454439.25233645,14959009.74025974,0.633215176688291
Ankit Singh Rajpoot,Bowler,30000000,Kings XI Punjab,2018,Indian,17.216707972959764,0.9128499518264667,0.030632514193211002,18284883.720930234,21982142.85714286,14959009.74025974,0.795291730658676
Ankit Singh Rajpoot,Bowler,5000000,Lucknow Super Giants,2022,Indian,15.424948670398354,-0.386984116631616,1.381247912712276,18284883.720930234,29611111.111111112,14959009.74025974,0.3763299352224885
Ankush Bains,Wicket Keeper,1000000,Rajasthan Royals,2014,Indian,13.815511557963774,-1.5545523200128677,-1.319982884325854,18055555.555555556,17672500.0,14959009.74025974,0.0
Ankush Bains,Wicket Keeper,1000000,Chennai Super Kings,2015,Indian,13.815511557963774,-1.5545523200128677,-0.9823290346960878,18055555.555555556,17787650.60240964,14959009.74025974,0.0
Ankush Bains,All-Rounder,1000000,Rising Pune Supergiant,2016,Indian,13.815511557963774,-1.5545523200128677,-0.6446751850663216,19833904.10958904,11740740.74074074,14959009.74025974,0.0
Ankush Bains,Wicket Keeper,2000000,Delhi Capitals,2019,Indian,14.508658238524095,-1.0517081776423227,0.3682863638229773,18055555.555555556,19826086.95652174,14959009.74025974,0.162076444851182
Anmolpreet Singh,Batsman,8000000,Mumbai Indians,2019,Indian,15.894952224644102,-0.04601943949464804,0.3682863638229773,19669590.643274855,16299065.420560747,14959009.74025974,0.48622948069530425
Anmolpreet Singh,Batsman,2000000,Mumbai Indians,2022,Indian,14.508658238524095,-1.0517081776423227,1.381247912712276,19669590.643274855,16299065.420560747,14959009.74025974,0.162076444851182
Anrich Nortje,Bowler,2000000,Kolkata Knight Riders,2019,Overseas,14.508658238524095,-1.0517081776423227,0.3682863638229773,18284883.720930234,18454439.25233645,26280014.124293786,0.162076444851182
Ansh Patel,All-Rounder,2000000,Punjab Kings,2022,Indian,14.508658238524095,-1.0517081776423227,1.381247912712276,19833904.10958904,26921875.0,14959009.74025974,0.162076444851182
Anuj Rawat,All-Rounder,8000000,Rajasthan Royals,2020,Indian,15.894952224644102,-0.04601943949464804,0.7059402134527436,19833904.10958904,17672500.0,14959009.74025974,0.48622948069530425
Anuj Rawat,Wicket Keeper,34000000,Royal Challengers Bangalore,2022,Indian,17.341871111992198,1.0036497104753757,1.381247912712276,18055555.555555556,19848913.04347826,14959009.74025974,0.8245582584654492
Anukul Roy,All-Rounder,2000000,Mumbai Indians,2018,Indian,14.508658238524095,-1.0517081776423227,0.030632514193211002,19833904.10958904,16299065.420560747,14959009.74025974,0.162076444851182
